"text","book","chapter"
"said, `Hagrid's late. I suppose it was he who told you I'd","Book 1: Philosopher's Stone","chap-1"
"be here, by the way?`  `Yes,` said Professor McGonagall. `And I","Book 1: Philosopher's Stone","chap-1"
"don't suppose you're going to tell me why you're here, of all","Book 1: Philosopher's Stone","chap-1"
"places?`  `I've come to bring Harry to his aunt and uncle.","Book 1: Philosopher's Stone","chap-1"
"They're the only family he has left now.`  `You don't mean","Book 1: Philosopher's Stone","chap-1"
"-- you can't mean the people who live here?` cried Professor McGonagall,","Book 1: Philosopher's Stone","chap-1"
"jumping to her feet and pointing at number four. `Dumbledore -- you","Book 1: Philosopher's Stone","chap-1"
"can't. I've been watching them all day. You couldn't find two people","Book 1: Philosopher's Stone","chap-1"
"who are less like us. And they've got this son -- I","Book 1: Philosopher's Stone","chap-1"
"saw him kicking his mother all the way up the street, screaming","Book 1: Philosopher's Stone","chap-1"
"for sweets. Harry Potter come and live here!`  `It's the best","Book 1: Philosopher's Stone","chap-1"
"place for him,` said Dumbledore firmly. `His aunt and uncle will be","Book 1: Philosopher's Stone","chap-1"
"able to explain everything to him when he's older. I've written them","Book 1: Philosopher's Stone","chap-1"
